Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 2, datain =00000001, dataout =xxxxxxxx 
simtime = 6, datain =00000010, dataout =01100011 
simtime = 10, datain =00000011, dataout =01111100 
simtime = 14, datain =00000100, dataout =01110111 
simtime = 18, datain =00000101, dataout =01111011 
simtime = 22, datain =00000110, dataout =11110010 
simtime = 26, datain =00000111, dataout =01101011 
simtime = 30, datain =00001000, dataout =01101111 
simtime = 34, datain =00001001, dataout =11000101 
simtime = 38, datain =00001010, dataout =00110000 
simtime = 42, datain =00001011, dataout =00000001 
simtime = 46, datain =00001100, dataout =01100111 
simtime = 50, datain =00001101, dataout =00101011 
simtime = 54, datain =00001110, dataout =11111110 
simtime = 58, datain =00001111, dataout =11010111 
simtime = 62, datain =00010000, dataout =10101011 
simtime = 66, datain =00010001, dataout =01110110 
simtime = 70, datain =00010010, dataout =11001010 
simtime = 74, datain =00010011, dataout =10000010 
simtime = 78, datain =00010100, dataout =11001001 
simtime = 82, datain =00010101, dataout =01111101 
simtime = 86, datain =00010110, dataout =11111010 
simtime = 90, datain =00010111, dataout =01011001 
simtime = 94, datain =00011000, dataout =01000111 
simtime = 98, datain =00011001, dataout =11110000 
simtime = 102, datain =00011010, dataout =10101101 
simtime = 106, datain =00011011, dataout =11010100 
simtime = 110, datain =00011100, dataout =10100010 
simtime = 114, datain =00011101, dataout =10101111 
simtime = 118, datain =00011110, dataout =10011100 
simtime = 122, datain =00011111, dataout =10100100 
simtime = 126, datain =00100000, dataout =01110010 
simtime = 130, datain =00100001, dataout =11000000 
simtime = 134, datain =00100010, dataout =10110111 
simtime = 138, datain =00100011, dataout =11111101 
simtime = 142, datain =00100100, dataout =10010011 
simtime = 146, datain =00100101, dataout =00100110 
simtime = 150, datain =00100110, dataout =00110110 
simtime = 154, datain =00100111, dataout =00111111 
simtime = 158, datain =00101000, dataout =11110111 
simtime = 162, datain =00101001, dataout =11001100 
simtime = 166, datain =00101010, dataout =00110100 
simtime = 170, datain =00101011, dataout =10100101 
simtime = 174, datain =00101100, dataout =11100101 
simtime = 178, datain =00101101, dataout =11110001 
simtime = 182, datain =00101110, dataout =01110001 
simtime = 186, datain =00101111, dataout =11011000 
simtime = 190, datain =00110000, dataout =00110001 
simtime = 194, datain =00110001, dataout =00010101 
simtime = 198, datain =00110010, dataout =00000100 
simtime = 202, datain =00110011, dataout =11000111 
simtime = 206, datain =00110100, dataout =00100011 
simtime = 210, datain =00110101, dataout =11000011 
simtime = 214, datain =00110110, dataout =00011000 
simtime = 218, datain =00110111, dataout =10010110 
simtime = 222, datain =00111000, dataout =00000101 
simtime = 226, datain =00111001, dataout =10011010 
simtime = 230, datain =00111010, dataout =00000111 
simtime = 234, datain =00111011, dataout =00010010 
simtime = 238, datain =00111100, dataout =10000000 
simtime = 242, datain =00111101, dataout =11100010 
simtime = 246, datain =00111110, dataout =11101011 
simtime = 250, datain =00111111, dataout =00100111 
simtime = 254, datain =01000000, dataout =10110010 
simtime = 258, datain =01000001, dataout =01110101 
simtime = 262, datain =01000010, dataout =00001001 
simtime = 266, datain =01000011, dataout =10000011 
simtime = 270, datain =01000100, dataout =00101100 
simtime = 274, datain =01000101, dataout =00011010 
simtime = 278, datain =01000110, dataout =00011011 
simtime = 282, datain =01000111, dataout =01101110 
simtime = 286, datain =01001000, dataout =01011010 
simtime = 290, datain =01001001, dataout =10100000 
simtime = 294, datain =01001010, dataout =01010010 
simtime = 298, datain =01001011, dataout =00111011 
simtime = 302, datain =01001100, dataout =11010110 
simtime = 306, datain =01001101, dataout =10110011 
simtime = 310, datain =01001110, dataout =00101001 
simtime = 314, datain =01001111, dataout =11100011 
simtime = 318, datain =01010000, dataout =00101111 
simtime = 322, datain =01010001, dataout =10000100 
simtime = 326, datain =01010010, dataout =01010011 
simtime = 330, datain =01010011, dataout =11010001 
simtime = 334, datain =01010100, dataout =00000000 
simtime = 338, datain =01010101, dataout =11101101 
simtime = 342, datain =01010110, dataout =00100000 
simtime = 346, datain =01010111, dataout =11111100 
simtime = 350, datain =01011000, dataout =10110001 
simtime = 354, datain =01011001, dataout =01011011 
simtime = 358, datain =01011010, dataout =01101010 
simtime = 362, datain =01011011, dataout =11001011 
